customer_id,age,gender,region,purchase_count,total_amount,avg_rating,is_premium,signup_date
1,36,M,부산,6,90588,2.07,0,2023-08-20
2,50,M,대구,5,25261,3.97,1,2023-12-24
3,54,F,부산,4,449483,4.65,1,2023-05-01
4,48,F,경기,7,160577,2.66,0,2023-12-18
5,41,M,서울,7,272286,5.0,0,2023-07-01
6,30,F,대구,4,309577,4.05,0,2023-07-09
7,44,M,대구,6,207269,2.02,0,2023-05-15
8,39,F,서울,3,125349,2.02,0,2023-05-18
9,68,M,경기,1,99385,2.22,0,2023-10-16
10,31,F,경기,3,771564,4.11,1,2023-10-30
11,20,M,기타,9,248095,3.45,0,2023-03-15
12,39,F,경기,9,3037,2.43,0,2023-05-06
13,59,M,서울,5,137700,3.82,0,2023-04-01
14,36,M,경기,4,812900,2.04,0,2023-11-21
15,64,F,대구,7,31121,2.73,0,2023-08-22
16,56,F,대구,6,35498,4.0,0,2023-03-07
17,37,M,부산,6,572148,2.39,1,2023-01-04
18,22,F,대구,10,389030,3.13,0,2023-09-14
19,50,M,부산,2,635709,1.91,0,2023-10-21
20,40,F,서울,10,81076,4.29,0,2023-07-14
21,48,M,서울,13,165622,2.39,0,2023-11-11
22,54,M,서울,9,16947,2.01,1,2023-03-30
23,27,F,경기,8,804561,4.92,0,2023-02-19
24,45,F,경기,5,132436,4.31,0,2023-03-31
25,24,M,대구,2,91309,1.5,0,2023-11-04
26,27,F,기타,6,97303,3.9,0,2023-10-17
27,62,M,경기,5,366732,4.64,0,2023-03-25
28,38,F,부산,4,181666,2.8,0,2023-03-28
29,30,M,대구,4,188971,4.82,0,2023-03-09
30,34,F,부산,1,183551,3.28,0,2023-04-13
31,30,M,대구,4,339756,1.1,1,2023-05-18
32,32,M,대구,5,730320,3.17,1,2023-03-15
33,31,M,대구,3,118784,4.08,1,2023-02-24
34,28,M,부산,5,177503,1.07,0,2023-11-17
35,64,F,경기,4,916710,1.93,0,2023-01-01
36,25,F,서울,7,27333,1.83,0,2023-12-31
37,30,F,부산,2,223698,4.82,0,2023-08-01
38,64,M,경기,8,74392,4.25,0,2023-05-03
